item                              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
treeLikelihood.5116_introns       -3619.53 0.073801 4.907042 -3619.44 -3629.02 -3609.94 1092953. 4420.914 NaN     
treeLikelihood.5271_introns       -1211.94 0.065776 4.952644 -1211.31 -1222.06 -1203.20 852273.4 5669.371 NaN     
treeLikelihood.5326_introns       -1440.01 0.096952 5.894713 -1439.62 -1451.82 -1428.79 1307091. 3696.647 NaN     
treeLikelihood.5333_introns       -912.928 0.04325  4.482866 -912.433 -921.991 -904.808 449754.1 10743.32 NaN     
treeLikelihood.5404_introns       -2461.99 0.102227 5.805237 -2461.55 -2473.59 -2451.18 1498328. 3224.830 NaN     
treeLikelihood.5406_introns       -8480.40 0.058776 5.088402 -8480.06 -8490.53 -8470.81 644690.6 7494.842 NaN     
treeLikelihood.5426_introns       -11343.2 0.249456 7.39552  -11343.0 -11357.6 -11328.9 5497498. 878.9188 NaN     
treeLikelihood.5428_introns       -846.896 0.05218  4.420151 -846.338 -855.899 -838.986 673362.6 7175.709 NaN     
treeLikelihood.5464_introns       -2757.16 0.076334 5.232139 -2756.83 -2767.68 -2747.22 1028469. 4698.100 NaN     
treeLikelihood.5599_introns       -2607.59 0.096442 5.680184 -2607.20 -2618.82 -2596.78 1392916. 3468.875 NaN     
treeLikelihood.5614_introns       -6076.45 0.073784 5.410642 -6076.11 -6087.25 -6066.42 898547.5 5377.406 NaN     
treeLikelihood.5639_introns       -2269.69 0.078801 5.028563 -2269.27 -2279.72 -2260.36 1186559. 4072.154 NaN     
treeLikelihood.5664_introns       -4147.59 0.073035 5.880033 -4147.18 -4159.35 -4136.66 745443.4 6481.853 NaN     
treeLikelihood.5822_introns       -7080.28 0.057979 5.818048 -7080.00 -7091.71 -7069.01 479849.6 10069.51 NaN     
treeLikelihood.5840_introns       -4886.80 0.745862 12.80272 -4885.55 -4912.20 -4866.32 16399318 294.6375 NaN     
treeLikelihood.5857_introns       -1707.46 0.04504  4.373764 -1707.16 -1716.34 -1699.21 512378.6 9430.242 NaN     
treeLikelihood.5899_introns       -4139.67 0.060524 5.222093 -4139.39 -4150.08 -4129.73 649054.4 7444.452 NaN     
treeLikelihood.5910_introns       -3164.38 0.611632 11.18977 -3161.22 -3188.03 -3148.24 14436167 334.7048 NaN     
treeLikelihood.5913_introns       -1566.28 0.036567 4.307204 -1565.72 -1575.09 -1558.76 348260.4 13874.25 NaN     
treeLikelihood.5922_introns       -9879.04 0.171373 5.90271  -9878.78 -9890.74 -9867.68 4072832. 1186.362 NaN     
treeLikelihood.5926_introns       -1926.49 0.068065 5.052994 -1926.07 -1936.63 -1917.10 876727.1 5511.241 NaN     
treeLikelihood.5944_introns       -1541.30 0.103012 4.177268 -1540.73 -1550.22 -1533.98 2938365. 1644.402 NaN     
treeLikelihood.5974_introns       -2573.76 0.164596 6.65735  -2573.34 -2586.81 -2561.28 2953602. 1635.919 NaN     
treeLikelihood.6026_introns       -4694.90 0.108934 5.060545 -4694.52 -4705.04 -4685.49 2238946. 2158.093 NaN     
treeLikelihood.6041_introns       -7085.23 0.142339 5.600493 -7084.85 -7096.49 -7074.83 3121103. 1548.123 NaN     
treeLikelihood.6098_introns       -3164.14 0.05605  5.287624 -3163.71 -3174.75 -3154.40 542921.1 8899.736 NaN     
treeLikelihood.6295_introns       -3336.23 0.058692 5.902889 -3335.90 -3348.08 -3325.15 477678.9 10115.27 NaN     
treeLikelihood.6298_introns       -1313.86 0.024601 3.903654 -1313.48 -1321.82 -1306.73 191901.7 25178.79 NaN     
treeLikelihood.6303_introns       -2048.78 0.05578  5.590905 -2048.27 -2060.04 -2038.51 480963.3 10046.20 NaN     
treeLikelihood.6366_introns       -1505.14 0.087077 5.804796 -1504.82 -1516.57 -1494.12 1087287. 4443.954 NaN     
treeLikelihood.6383_introns       -2416.62 0.048516 4.548354 -2416.30 -2425.73 -2408.12 549771.8 8788.836 NaN     
treeLikelihood.6401_introns       -1218.18 0.066999 5.21008  -1217.60 -1228.94 -1208.86 799021.2 6047.216 NaN     
treeLikelihood.6406_introns       -1378.90 0.078083 5.06215  -1378.35 -1388.94 -1369.85 1149623. 4202.990 NaN     
treeLikelihood.6420_introns       -2796.15 0.034899 4.51246  -2795.76 -2805.25 -2787.79 289017.3 16718.22 NaN     
treeLikelihood.6450_introns       -4939.02 0.102278 5.819197 -4938.55 -4950.56 -4928.14 1492643. 3237.111 NaN     
treeLikelihood.6460_introns       -1356.50 0.057893 5.32142  -1356.07 -1367.11 -1346.60 571880.7 8449.060 NaN     
treeLikelihood.6462_introns       -4701.64 0.076985 5.55056  -4701.26 -4712.72 -4691.25 929510.7 5198.277 NaN     
treeLikelihood.6494_introns       -4304.70 0.328693 7.292592 -4303.59 -4319.56 -4292.35 9815938. 492.2458 NaN     
treeLikelihood.6500_introns       -4250.62 0.095916 5.876466 -4250.18 -4262.52 -4239.79 1287259. 3753.598 NaN     
treeLikelihood.6639_introns       -1643.16 0.048463 5.075988 -1642.73 -1653.36 -1633.81 440444.2 10970.41 NaN     
treeLikelihood.6641_introns       -1340.69 0.095711 5.646983 -1340.20 -1351.88 -1330.27 1388055. 3481.023 NaN     
treeLikelihood.6689_introns       -3368.87 0.067828 5.536859 -3368.40 -3379.97 -3358.67 725113.9 6663.580 NaN     
treeLikelihood.6947_introns       -3615.64 0.04047  4.414335 -3615.16 -3624.54 -3607.64 406123.2 11897.50 NaN     
treeLikelihood.6992_introns       -1388.19 0.047198 4.484323 -1387.64 -1397.29 -1380.10 535271.9 9026.916 NaN     
treeLikelihood.7141_introns       -1583.83 0.061569 5.340184 -1583.36 -1594.58 -1574.06 642280.3 7522.969 NaN     
treeLikelihood.7174_introns       -3240.06 0.057872 5.448889 -3239.52 -3250.95 -3230.13 545044.7 8865.061 NaN     
treeLikelihood.7313_introns       -3375.18 0.038566 5.355006 -3374.82 -3385.83 -3365.12 250607.8 19280.54 NaN     
treeLikelihood.7324_introns       -4105.02 0.105112 5.908284 -4104.62 -4116.78 -4093.92 1529297. 3159.525 NaN     
treeLikelihood.7333_introns       -1332.86 0.067038 4.732022 -1332.33 -1342.40 -1324.37 969755.4 4982.549 NaN     
treeLikelihood.7572_introns       -1212.38 0.106091 6.251204 -1211.99 -1224.68 -1200.68 1391683. 3471.949 NaN     
treeLikelihood.7602_introns       -2528.79 0.080128 5.179677 -2528.41 -2539.16 -2519.16 1156314. 4178.669 NaN     
clockRate.c:4848_introns          5872.345 300.7422 4890.312 4527.340 265.6427 16615.32 18273833 264.4138 4148.303
clockRate.c:4932_introns          7721.895 404.1128 6583.439 5735.722 319.1160 21784.67 18205955 265.3996 5135.744
clockRate.c:4992_introns          1765.070 67.20975 1100.130 1590.962 200.8898 4074.265 18033920 267.9314 1427.271
clockRate.c:5116_introns          393.3293 15.90859 259.4621 352.3915 37.02649 885.9730 18164748 266.0017 301.5287
clockRate.c:5271_introns          15360.11 883.1147 14370.87 9820.682 523.5376 47670.32 18246601 264.8084 10075.64
clockRate.c:5326_introns          26842.42 622.3656 10877.23 26425.04 8374.956 46719.08 15818618 305.4536 24503.91
clockRate.c:5333_introns          58403.34 2348.150 39068.42 47347.23 9636.746 134038.5 17454760 276.8216 46013.95
clockRate.c:5404_introns          5199.923 144.6440 2430.586 4820.951 1109.751 9870.071 17111701 282.3713 4617.203
clockRate.c:5406_introns          38.02109 0.625662 11.34168 36.34917 18.86956 60.77913 14704076 328.6064 36.42926
clockRate.c:5426_introns          58.52370 1.090258 18.89801 54.80607 27.57680 97.44882 16082003 300.4510 55.65408
clockRate.c:5428_introns          38214.04 1186.486 20680.02 32987.51 8572.098 83734.21 15905134 303.7921 33606.75
clockRate.c:5464_introns          2974.619 132.4266 2150.375 2416.033 356.4452 7172.331 18324678 263.6802 2230.974
clockRate.c:5599_introns          3407.720 134.3903 2199.136 3127.900 396.0844 7401.117 18044539 267.7738 2702.231
clockRate.c:5614_introns          112.0090 3.641819 60.06513 99.70541 23.96404 225.8782 17762563 272.0246 96.51843
clockRate.c:5639_introns          2880.479 134.3789 2184.087 1771.777 332.0761 6780.114 18290958 264.1663 2078.508
clockRate.c:5664_introns          847.5129 24.27800 402.5690 781.2496 227.6247 1644.716 17573534 274.9506 765.7943
clockRate.c:5822_introns          33.39244 0.693413 12.06778 31.90511 12.64700 56.84869 15953003 302.8805 31.27454
clockRate.c:5840_introns          829.1764 25.02705 412.6111 778.4530 190.5128 1577.619 17776719 271.8080 721.8665
clockRate.c:5857_introns          4501.257 153.7202 2571.830 4189.594 470.6464 9119.696 17262001 279.9127 3643.242
clockRate.c:5899_introns          1198.394 32.09315 539.4867 1127.471 300.8737 2220.600 17099247 282.5770 1077.758
clockRate.c:5910_introns          4221.963 126.9055 2102.049 3639.810 1031.386 8829.408 17611194 274.3627 3776.628
clockRate.c:5913_introns          47.33588 0.275634 9.450922 46.54809 29.81071 66.18850 4109888. 1175.665 46.40978
clockRate.c:5922_introns          61.19286 1.340826 22.69355 59.05239 18.82088 103.9762 16867623 286.4573 56.97267
clockRate.c:5926_introns          8840.149 247.7189 4188.606 8412.772 2220.537 16709.37 16900250 285.9043 7829.114
clockRate.c:5944_introns          3532.858 177.4113 2989.309 2542.564 5.846376 9305.009 17019036 283.9088 2113.428
clockRate.c:5974_introns          10622.45 333.6151 5497.362 10052.21 1637.558 21755.94 17794953 271.5295 9103.147
clockRate.c:6026_introns          400.9058 10.37994 175.0809 387.2135 83.63285 721.0093 16983446 284.5038 362.1835
clockRate.c:6041_introns          160.7954 6.510906 105.3200 133.2496 31.59090 391.5677 18466087 261.6610 132.0771
